id,countyname,n,yvac,propprimary,traveltime,nightlight,wted_n,wted_yvac
1,baringo,92,75,0.245,42.29047144,0.028992747,92,76
2,bomet,83,76,0.257,30.46116837,0.071676453,83,76
3,bungoma,120,103,0.198,45.27396785,0.087408805,120,101
4,busia,76,69,0.161,6.795020969,0.140833262,76,70
5,elgeyo marakwet,77,67,0.286,27.27533291,0.052603766,77,67
6,embu,54,50,0.292,22.48511609,0.089147731,54,50
7,garissa,100,80,0.057,117.5268937,0.040691673,100,81
8,homa bay,110,88,0.281,11.70209041,0.072115016,110,88
9,isiolo,117,94,0.181,162.1753452,0.035876835,117,101
10,kajiado,97,76,0.179,66.09023051,0.076199041,97,79
11,kakamega,88,74,0.185,8.785061039,0.146597846,88,70
12,kericho,79,67,0.249,20.5625495,0.120397515,79,66
13,kiambu,56,55,0.099,9.21499658,0.721082461,56,55
14,kilifi,114,99,0.193,97.13736543,0.088026919,114,97
15,kirinyaga,35,35,0.298,24.20927691,0.171081741,35,35
16,kisii,87,77,0.22,5.493713085,0.200533946,87,75
17,kisumu,90,82,0.247,8.288230422,0.26126844,90,82
18,kitui,73,64,0.344,81.8772005,0.051051186,73,62
19,kwale,97,85,0.235,51.65207364,0.106491593,97,88
20,laikipia,67,61,0.247,46.87647538,0.061491226,67,62
21,lamu,58,48,0.21,113.2623782,0.042308667,58,48
22,machakos,70,68,0.369,14.32703136,0.276514334,70,68
23,makueni,71,69,0.346,29.50160431,0.08687841,71,69
24,mandera,74,41,0.037,90.1578404,0.00765267,74,46
25,marsabit,81,59,0.103,171.9865132,0.007689557,81,62
26,meru,64,61,0.275,38.66421498,0.101235475,64,58
27,migori,124,101,0.24,9.082455573,0.08231565,124,102
28,mombasa,58,53,0.269,4.808201022,4.847238455,58,53
29,murang'a,60,58,0.299,16.20510097,0.230591204,60,58
30,nairobi,106,98,0.234,4.404092962,8.981564083,106,98
31,nakuru,89,78,0.301,21.24589362,0.296398818,89,77
32,nandi,98,95,0.239,16.67643186,0.088023728,98,96
33,narok,120,90,0.173,60.72473566,0.048190077,120,89
34,nyamira,70,68,0.256,5.188764952,0.163365714,70,69
35,nyandarua,71,67,0.391,26.40869374,0.101958309,71,67
36,nyeri,69,64,0.278,36.26577913,0.165660872,69,64
37,samburu,117,84,0.073,115.8795066,0.020316377,117,84
38,siaya,98,85,0.286,9.533725187,0.078477158,98,83
39,taita taveta,57,53,0.345,70.55703237,0.066631392,57,53
40,tana river,130,100,0.135,166.2360457,0.04708069,130,102
41,tharaka-nithi,55,54,0.284,32.11819977,0.06328124,55,54
42,trans-nzoia,79,66,0.229,23.97665072,0.081540724,79,67
43,turkana,98,68,0.031,176.6133642,0.00760531,98,71
44,uasin gishu,90,83,0.219,10.41465075,0.157353116,90,82
45,vihiga,80,79,0.267,5.509876532,0.215570533,80,79
46,wajir,121,88,0.046,81.50083585,0.026338753,121,78
47,west pokot,127,78,0.12,78.28709824,0.030715526,127,74
