utmx utmy Watershednum elevation aspect slope
278945 4866015 9 684 356.6335 12.01703
278955 4866015 9 684 351.0274 13.51969
278965 4866015 9 685 351.0274 13.51969
278925 4866025 9 686 356.6335 12.01703
278935 4866025 9 686 356.9872 13.37805
278945 4866025 9 686 354.2894 14.10346
278955 4866025 9 687 351.0274 13.51969
278965 4866025 9 687 356.6335 12.01703
278975 4866025 9 687 0 11.30993
278915 4866035 9 688 356.9872 13.37805
278925 4866035 9 688 354.2894 14.10346
278935 4866035 9 689 354.2894 14.10346
278945 4866035 9 689 356.9872 13.37805
278955 4866035 9 689 356.6335 12.01703
278965 4866035 9 689 0 11.30993
278975 4866035 9 689 0 11.30993
278985 4866035 9 689 0 11.30993
278145 4866045 7 700 356.1859 10.64269
278155 4866045 7 700 344.0546 10.31508
278165 4866045 7 701 344.0546 10.31508
278175 4866045 7 701 347.0054 9.468127
278185 4866045 7 702 341.5651 8.984877
278195 4866045 7 702 341.5651 8.984877
278895 4866045 9 690 349.6952 15.61613
278905 4866045 9 690 351.8699 14.85106
278915 4866045 9 691 354.2894 14.10346
278925 4866045 9 691 356.9872 13.37805
278935 4866045 9 691 356.6335 12.01703
278945 4866045 9 691 0 11.30993
278955 4866045 9 691 0 11.30993
278965 4866045 9 691 0 11.30993
278975 4866045 9 691 0 11.30993
278985 4866045 9 691 0 11.30993
278995 4866045 9 691 0 11.30993
278085 4866055 7 700 0 8.530766
278095 4866055 7 700 347.0054 9.468127
278105 4866055 7 701 348.6901 10.82504
278115 4866055 7 701 0 11.30993
278125 4866055 7 701 348.6901 10.82504
278135 4866055 7 702 344.0546 10.31508
278145 4866055 7 702 356.1859 10.64269
278155 4866055 7 702 348.6901 10.82504
278165 4866055 7 703 344.0546 10.31508
278175 4866055 7 703 351.8699 10.02499
278185 4866055 7 703 347.0054 9.468127
278195 4866055 7 704 344.7449 8.111279
278205 4866055 7 704 348.6901 7.264627
278215 4866055 7 704 354.8056 7.860959
278885 4866055 9 692 344.7449 15.90988
278895 4866055 9 693 351.8699 14.85106
278905 4866055 9 693 356.9872 13.37805
278915 4866055 9 693 356.6335 12.01703
278925 4866055 9 693 0 11.30993
278935 4866055 9 693 0 11.30993
278945 4866055 9 693 0 11.30993
278955 4866055 9 693 0 11.30993
278965 4866055 9 693 0 11.30993
278975 4866055 9 693 3.814075 10.64269
278985 4866055 9 693 4.398705 9.256682
278995 4866055 9 693 0 8.530766
279005 4866055 9 693 355.6013 9.256682
277735 4866065 7 718 45 5.051153
277745 4866065 7 718 45 5.051153
277755 4866065 7 717 45 6.054499
277765 4866065 7 716 33.69007 5.150652
277775 4866065 7 716 33.69007 5.150652
278015 4866065 7 702 0 5.710593
278025 4866065 7 702 6.340192 6.457954
278035 4866065 7 702 5.194429 7.860959
278045 4866065 7 702 0 8.530766
278055 4866065 7 702 0 8.530766
278065 4866065 7 702 0 8.530766
278075 4866065 7 702 355.6013 9.256682
278085 4866065 7 702 356.1859 10.64269
278095 4866065 7 702 348.6901 10.82504
278105 4866065 7 703 344.0546 10.31508
278115 4866065 7 703 356.1859 10.64269
278125 4866065 7 703 356.1859 10.64269
278135 4866065 7 703 344.0546 10.31508
278145 4866065 7 704 348.6901 10.82504
278155 4866065 7 704 356.1859 10.64269
278165 4866065 7 704 347.0054 9.468127
278175 4866065 7 705 347.0054 9.468127
278185 4866065 7 705 351.8699 10.02499
278195 4866065 7 705 355.6013 9.256682
278205 4866065 7 705 350.5377 8.64667
278215 4866065 7 706 350.5377 8.64667
278225 4866065 7 706 350.5377 8.64667
278235 4866065 7 706 350.5377 8.64667
278245 4866065 7 706 350.5377 8.64667
278865 4866065 9 693 338.1986 15.06996
278875 4866065 9 694 338.1986 15.06996
278885 4866065 9 695 345.2564 13.79797
278895 4866065 9 695 356.6335 12.01703
278905 4866065 9 695 0 11.30993
278915 4866065 9 695 0 11.30993
278925 4866065 9 695 356.6335 12.01703
278935 4866065 9 695 0 12.68038
278945 4866065 9 695 3.366461 12.01703
278955 4866065 9 695 0 11.30993
278965 4866065 9 695 0 11.30993
278975 4866065 9 695 7.125016 11.39565
278985 4866065 9 694 7.125016 11.39565
278995 4866065 9 694 0 11.30993
279005 4866065 9 694 352.875 11.39565
279015 4866065 9 695 339.444 12.05719
277725 4866075 7 720 45 8.049467
277735 4866075 7 719 45 7.054132
277745 4866075 7 718 33.69007 5.150652
277755 4866075 7 718 35.53768 6.13738
277765 4866075 7 717 35.53768 6.13738
277775 4866075 7 717 33.69007 5.150652
277785 4866075 7 716 45 6.054499
277795 4866075 7 715 45 5.051153
277805 4866075 7 715 45 5.051153
277815 4866075 7 714 45 7.054132
277825 4866075 7 713 45 7.054132
277835 4866075 7 712 45 5.051153
277845 4866075 7 712 45 5.051153
277855 4866075 7 711 45 7.054132
277865 4866075 7 710 45 8.049467
277985 4866075 7 704 6.340192 6.457954
277995 4866075 7 704 15.25512 8.111279
278005 4866075 7 703 15.25512 8.111279
278015 4866075 7 703 6.340192 6.457954
278025 4866075 7 703 0 5.710593
278035 4866075 7 703 353.6598 6.457954
278045 4866075 7 703 354.8056 7.860959
278055 4866075 7 703 0 8.530766
278065 4866075 7 703 0 8.530766
278075 4866075 7 703 350.5377 8.64667
278085 4866075 7 704 347.0054 9.468127
278095 4866075 7 704 351.8699 10.02499
278105 4866075 7 704 344.0546 10.31508
278115 4866075 7 705 348.6901 10.82504
278125 4866075 7 705 0 11.30993
278135 4866075 7 705 348.6901 10.82504
278145 4866075 7 706 344.0546 10.31508
278155 4866075 7 706 356.1859 10.64269
278165 4866075 7 706 356.1859 10.64269
278175 4866075 7 706 347.0054 9.468127
278185 4866075 7 707 350.5377 8.64667
278195 4866075 7 707 355.6013 9.256682
278205 4866075 7 707 351.8699 10.02499
278215 4866075 7 707 355.6013 9.256682
278225 4866075 7 707 350.5377 8.64667
278235 4866075 7 708 347.0054 9.468127
278245 4866075 7 708 351.8699 10.02499
278255 4866075 7 708 355.6013 9.256682
278855 4866075 9 694 333.4349 12.60438
278865 4866075 9 695 333.4349 12.60438
278875 4866075 9 696 333.4349 12.60438
278885 4866075 9 697 345.9637 11.64863
278895 4866075 9 697 0 11.30993
278905 4866075 9 697 356.6335 12.01703
278915 4866075 9 697 356.9872 13.37805
278925 4866075 9 697 354.2894 14.10346
278935 4866075 9 698 0 14.03624
278945 4866075 9 697 5.710593 14.10346
278955 4866075 9 697 3.012788 13.37805
278965 4866075 9 697 3.366461 12.01703
278975 4866075 9 697 3.366461 12.01703
278985 4866075 9 697 3.012788 13.37805
278995 4866075 9 697 0 14.03624
279005 4866075 9 697 354.2894 14.10346
279015 4866075 9 697 343.3008 14.62828
279025 4866075 9 698 338.1986 15.06996
279035 4866075 9 699 329.9314 15.34595
277715 4866085 7 722 45 7.054132
277725 4866085 7 721 45 8.049467
277735 4866085 7 720 45 8.049467
277745 4866085 7 719 35.53768 6.13738
277755 4866085 7 719 33.69007 5.150652
277765 4866085 7 718 45 6.054499
277775 4866085 7 717 45 5.051153
277785 4866085 7 717 45 5.051153
277795 4866085 7 716 45 6.054499
277805 4866085 7 715 33.69007 5.150652
277815 4866085 7 715 35.53768 6.13738
277825 4866085 7 714 45 8.049467
277835 4866085 7 713 45 7.054132
277845 4866085 7 712 33.69007 5.150652
277855 4866085 7 712 35.53768 6.13738
277865 4866085 7 711 45 8.049467
277875 4866085 7 710 45 8.049467
277885 4866085 7 709 45 7.054132
277895 4866085 7 708 33.69007 5.150652
277905 4866085 7 708 35.53768 6.13738
277915 4866085 7 707 26.56505 6.37937
277925 4866085 7 707 26.56505 6.37937
277935 4866085 7 706 26.56505 6.37937
277945 4866085 7 706 0 5.710593
277955 4866085 7 706 26.56505 6.37937
277965 4866085 7 705 26.56505 6.37937
277975 4866085 7 705 0 5.710593
277985 4866085 7 705 0 5.710593
277995 4866085 7 705 6.340192 6.457954
278005 4866085 7 705 15.25512 8.111279
278015 4866085 7 704 9.462322 8.64667
278025 4866085 7 704 0 8.530766
278035 4866085 7 704 350.5377 8.64667
278045 4866085 7 705 350.5377 8.64667
278055 4866085 7 705 0 8.530766
278065 4866085 7 705 0 8.530766
278075 4866085 7 705 350.5377 8.64667
278085 4866085 7 705 341.5651 8.984877
278095 4866085 7 706 347.0054 9.468127
278105 4866085 7 706 344.0546 10.31508
278115 4866085 7 707 347.0054 9.468127
278125 4866085 7 707 0 8.530766
278135 4866085 7 707 350.5377 8.64667
278145 4866085 7 707 341.5651 8.984877
278155 4866085 7 708 350.5377 8.64667
278165 4866085 7 708 0 8.530766
278175 4866085 7 708 350.5377 8.64667
278185 4866085 7 708 350.5377 8.64667
278195 4866085 7 708 350.5377 8.64667
278205 4866085 7 709 347.0054 9.468127
278215 4866085 7 709 356.1859 10.64269
278225 4866085 7 709 356.1859 10.64269
278235 4866085 7 709 347.0054 9.468127
278245 4866085 7 710 347.0054 9.468127
278255 4866085 7 710 356.1859 10.64269
278265 4866085 7 710 356.1859 10.64269
278275 4866085 7 710 347.0054 9.468127
278845 4866085 9 695 333.4349 12.60438
278855 4866085 9 696 333.4349 12.60438
278865 4866085 9 697 333.4349 12.60438
278875 4866085 9 698 333.4349 12.60438
278885 4866085 9 699 345.9637 11.64863
278895 4866085 9 699 0 11.30993
278905 4866085 9 699 349.992 12.17678
278915 4866085 9 700 351.0274 13.51969
278925 4866085 9 700 356.9872 13.37805
278935 4866085 9 700 0 12.68038
278945 4866085 9 700 3.012788 13.37805
278955 4866085 9 700 5.710593 14.10346
278965 4866085 9 699 5.710593 14.10346
278975 4866085 9 699 0 14.03624
278985 4866085 9 699 0 14.03624
