"s.index","long","lat","merge.index"
1,-94.6933,43.1233,-4.08348758389
2,-94.5886,38.7589,-3.66615008854
3,-94.568,39.3322,-3.7195674896
5,-94.4175,37.2297,-3.51513519975
6,-94.3764,39.303,-3.7092756492
7,-94.2833,39.4167,-3.71633655111
8,-94.1433,34.4544,-3.24365091552
9,-94.1433,46.3944,-4.36772191752
10,-94.1333,45.55,-4.287771815
11,-94.1167,36.1794,-3.40508573598
12,-94.0375,37.6958,-3.5448187925
13,-94,39.9542,-3.7556948
14,-93.8617,32.6833,-3.06771009961
15,-93.7589,46.2056,-4.33218622984
16,-93.7492,32.5364,-3.05026147088
17,-93.6878,41.8828,-3.92390738984
18,-93.6686,45.2108,-4.23483234088
19,-93.6433,41.6031,-3.89585157423
20,-93.5839,41.2853,-3.86363938667
21,-93.5797,30.2278,-2.82870845566
22,-93.5125,44.7894,-4.1883687675
23,-93.3719,30.1433,-2.81453719327
24,-93.2981,37.2619,-3.47646447239
25,-93.285,30.2625,-2.8230373125
26,-93.2192,35.8325,-3.340276984
27,-93.2139,45.1425,-4.20790848075
28,-93.2044,37.3194,-3.47833228536
29,-93.2011,45.4008,-4.23140450088
30,-93.0986,34.1794,-3.18205428884
31,-93.0133,44.4719,-4.13647817627
32,-92.855,45.1172,-4.189357606
33,-92.8292,48.4128,-4.49412149376
34,-92.6672,45.125,-4.1816074
35,-92.5236,46.7053,-4.32134249508
36,-92.5131,42.7431,-3.95429668461
37,-92.4497,43.9947,-4.06729681659
38,-92.3283,34.6811,-3.20204700513
39,-92.3156,39.0783,-3.60753671148
40,-92.2758,34.7561,-3.20714693238
41,-92.2595,34.8306,-3.2134537407
42,-92.0928,38.7058,-3.56452549824
43,-92.0892,46.8183,-4.31145979236
44,-92.0461,32.5097,-2.99239109717
45,-92.0428,30.2258,-2.78206726424
46,-92.0061,40.6933,-3.74403182913
47,-91.7892,39.4731,-3.62320427052
48,-91.6878,41.9767,-3.84875127426
49,-91.6875,41.9767,-3.84873868125
50,-91.6519,41.9106,-3.84118612014
51,-91.5269,42.2806,-3.86981224814
52,-91.4953,47.9464,-4.38687025192
53,-91.4183,30.3994,-2.77906146902
54,-91.3906,31.5608,-2.88436044848
55,-91.3661,30.6817,-2.80326727037
56,-91.3358,39.9175,-3.6458967965
57,-91.3153,30.2211,-2.75964881283
58,-91.225,43.7781,-3.9936571725
59,-91.2111,30.5019,-2.78211185109
60,-91.2072,30.5872,-2.78977286784
61,-91.182,30.4197,-2.7737290854
62,-91.1769,30.4622,-2.77744896318
63,-91.1283,30.1975,-2.75184683925
64,-91.0561,30.7008,-2.79549511488
65,-90.9655,30.2294,-2.7498324857
66,-90.8647,39.0447,-3.54778495209
67,-90.8172,29.995,-2.724061914
68,-90.8114,30.315,-2.752947591
69,-90.7653,29.7639,-2.70152931267
70,-90.7275,33.7555,-3.06255212625
72,-90.6986,46.6144,-4.22786081984
73,-90.6367,30.0494,-2.72357845298
74,-90.5967,45.2064,-4.09555065888
75,-90.5875,41.53,-3.762098875
76,-90.5683,43.7022,-3.95803396026
77,-90.5219,41.6992,-3.77469081248
78,-90.5172,41.5144,-3.75776724768
79,-90.4758,38.7108,-3.50239059864
80,-90.447,38.9022,-3.5185872834
81,-90.4222,37.8969,-3.42672107118
82,-90.4106,29.9842,-2.71088951252
83,-90.3614,38.4378,-3.47329342092
84,-90.3286,39.1097,-3.53272444742
85,-90.2728,30.0411,-2.71189421208
86,-90.2244,38.8708,-3.50709460752
87,-90.1994,30.4292,-2.74469558248
88,-90.1983,38.6556,-3.48666940548
89,-90.1983,38.6564,-3.48674156412
90,-90.1911,35.1967,-3.17442908937
91,-90.1775,41.875,-3.7761828125
92,-90.1603,38.6122,-3.48128753566
93,-90.1481,38.8903,-3.50588665343
94,-90.1406,32.3883,-2.91950079498
95,-90.1058,38.8606,-3.50156545148
96,-90.1014,29.9933,-2.70243832062
97,-90.0195,35.2175,-3.17026174125
98,-89.9994,42.2867,-3.80577762798
99,-89.9889,34.8275,-3.13408841475
